Project,Set,File,# of Cells,Total Cell Area,Tissue Area,Normalized (Cell/Tissue)
Ki671,set,166041_001_441.tif,0,0,11984,0
Ki671,set,166041_001_442.tif,0,0,61095.5,0
Ki671,set,166041_001_443.tif,0,0,33486,0
Ki671,set,166041_001_444.tif,0,0,2455.5,0
Ki671,set,166041_001_445.tif,0,0,31225.5,0
Ki671,set,166041_001_446.tif,0,0,10616.5,0
Ki671,set,166041_001_447.tif,0,0,68803.5,0
Ki671,set,166041_001_448.tif,0,0,53531.5,0
Ki671,set,166041_001_449.tif,0,0,6961.5,0
Ki671,set,166041_001_450.tif,0,0,22304,0
Ki671,set,166041_001_451.tif,0,0,309,0
Ki671,set,166041_001_452.tif,0,0,46766,0
Ki671,set,166041_001_453.tif,0,0,13236.5,0
Ki671,set,166041_001_454.tif,0,0,1470.5,0
Ki671,set,166041_002_001.tif,0,0,31350,0
Ki671,set,166041_002_002.tif,0,0,9674.5,0
Ki671,set,166041_002_003.tif,0,0,2422.5,0
Ki671,set,166041_002_004.tif,0,0,141072,0
Ki671,set,166041_002_005.tif,0,0,2170,0
Ki671,set,166041_002_006.tif,1,1378.5,56329,0.0244723
Ki671,set,166041_002_007.tif,0,0,13168,0
Ki671,set,166041_002_008.tif,2,2434,37787.5,0.0644128
Ki671,set,166041_002_009.tif,0,0,1418.5,0
Ki671,set,166041_002_010.tif,1,1949,44492,0.0438056
Ki671,set,166041_002_011.tif,1,1150,51036.5,0.0225329
Ki671,set,166041_002_012.tif,3,4290.5,93673.5,0.0458027
Ki671,set,166041_002_013.tif,0,0,53010,0
Ki671,set,166041_002_014.tif,4,7070.5,78966,0.0895385
Ki671,set,166041_002_015.tif,0,0,6753.5,0
Ki671,set,166041_002_016.tif,1,1231,25768,0.0477724
Ki671,set,166041_002_017.tif,1,1886.5,18344.5,0.102837
Ki671,set,166041_002_018.tif,0,0,5636.5,0
Ki671,set,166041_002_019.tif,0,0,7556,0
Ki671,set,166041_002_020.tif,0,0,221.5,0
Ki671,set,166041_002_021.tif,0,0,4323,0
Ki671,set,166041_002_022.tif,0,0,328.5,0
Ki671,set,166041_002_023.tif,0,0,666.5,0
Ki671,set,166041_002_024.tif,0,0,4278.5,0
Ki671,set,166041_002_025.tif,0,0,15931.5,0
Ki671,set,166041_002_026.tif,0,0,32747,0
Ki671,set,166041_002_027.tif,0,0,4829,0
Ki671,set,166041_002_028.tif,0,0,540.5,0
Ki671,set,166041_002_029.tif,0,0,2950.5,0
Ki671,set,166041_002_030.tif,0,0,281.5,0
Ki671,set,166041_002_031.tif,0,0,1458,0
Ki671,set,166041_002_032.tif,0,0,6201,0
Ki671,set,166041_002_033.tif,0,0,17855.5,0
Ki671,set,166041_002_034.tif,0,0,3746,0
Ki671,set,166041_002_035.tif,0,0,26030,0
Ki671,set,166041_002_036.tif,0,0,875.5,0
Ki671,set,166041_002_037.tif,0,0,5944,0
Ki671,set,166041_002_038.tif,0,0,86639,0
Ki671,set,166041_002_039.tif,0,0,369,0
Ki671,set,166041_002_040.tif,0,0,2451,0
Ki671,set,166041_002_041.tif,0,0,52470,0
Ki671,set,166041_002_042.tif,0,0,72259,0
Ki671,set,166041_002_043.tif,0,0,9839.5,0
Ki671,set,166041_002_044.tif,1,2004,4256,0.470865
Ki671,set,166041_002_045.tif,0,0,6945.5,0
Ki671,set,166041_002_046.tif,0,0,3122.5,0
Ki671,set,166041_002_047.tif,0,0,13239,0
Ki671,set,166041_002_048.tif,1,1107.5,63769.5,0.0173672
Ki671,set,166041_002_049.tif,1,1044,32125.5,0.0324975
Ki671,set,166041_002_050.tif,0,0,56318,0
Ki671,set,166041_002_051.tif,0,0,1624,0
Ki671,set,166041_002_052.tif,5,8602.5,118478,0.0726084
Ki671,set,166041_002_053.tif,2,2390,150326,0.0158987
Ki671,set,166041_002_054.tif,0,0,43764,0
Ki671,set,166041_002_055.tif,3,4632.5,99552,0.0465335
Ki671,set,166041_002_056.tif,8,11590.5,144112,0.0804273
Ki671,set,166041_002_057.tif,1,1166,127962,0.00911212
Ki671,set,166041_002_058.tif,0,0,31647,0
Ki671,set,166041_002_059.tif,3,3567.5,53899.5,0.066188
Ki671,set,166041_002_060.tif,1,1169.5,18833,0.0620984
Ki671,set,166041_002_061.tif,4,5097,71353.5,0.0714331
Ki671,set,166041_002_062.tif,0,0,71476.5,0
